"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"41","All Transitions","14770_40_41_50_51",0.0232502,"Boreal Acidic Peatland Systems",1637,0.541176,132978,1.3,3091.7650956
"42","All Transitions","14790_41_42_47_48_50_51_53",0.0091134,"Central Interior and Appalachian Swamp Systems",1638,1,20029,0.2,182.5322886
"43","All Transitions","14810_41_50_51_63",0.0051708,"Laurentian-Acadian Alkaline Conifer-Hardwood Swamp",1639,1,1602430,15.9,8285.845044
"44","All Transitions","14920_41_50_51_52_63",0.022358,"Great Lakes Coastal Marsh Systems",1640,0.792157,11357,0.1,253.919806
"45","All Transitions","14940_41_50_51",0.39658,"Laurentian-Acadian Shrub-Herbaceous Wetland Systems",1641,0.419608,501,0,198.68658
"46","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1614,0,3235466,32,1242.418944
"47","Alternative Succession","13022_41_50_51",0.000384,"Laurentian-Acadian Northern Hardwoods Forest - Hemlock",1615,0.588235,481063,4.8,184.728192
"48","Alternative Succession","13100_51",0.0041266,"North-Central Interior Dry-Mesic Oak Forest and Woodland",1617,0.870588,38448,0.4,158.6595168
"49","Alternative Succession","13110_51",0.0037196,"North-Central Interior Dry Oak Forest and Woodland",1618,0.560784,3124,0,11.6200304
"50","Alternative Succession","13620_51_63_64_65_66",0.0008822,"Laurentian-Acadian Northern Pine(-Oak) Forest",1622,0.74902,1449363,14.3,1278.6280386
"51","Alternative Succession","13651_51",0.0022104,"Boreal White Spruce-Fir-Hardwood Forest - Inland",1623,0.447059,332238,3.3,734.3788752
