"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1124",1636,7301,41963,9332,"BPS  Riparian",155060,"EVT  Hardwood",1117376
"1125",1636,7302,23036,5123,"BPS  Riparian",155060,"EVT  Hardwood",1403892
"1126",1636,7310,4724,1051,"BPS  Riparian",155060,"EVT  Hardwood",49771
"1127",1636,7311,1938,431,"BPS  Riparian",155060,"EVT  Hardwood",12646
"1128",1636,7313,918,204,"BPS  Riparian",155060,"EVT  Hardwood",12533
"1129",1636,7362,25228,5611,"BPS  Riparian",155060,"EVT  Conifer",418108
"1130",1636,7366,9639,2144,"BPS  Riparian",155060,"EVT  Conifer",168735
"1131",1636,7395,236,52,"BPS  Riparian",155060,"EVT  Hardwood",4408
"1132",1636,7407,1212,270,"BPS  Riparian",155060,"EVT  Conifer",67551
"1133",1636,7412,21,5,"BPS  Riparian",155060,"EVT  Grassland",72
"1134",1636,7466,12,3,"BPS  Riparian",155060,"EVT  Riparian",8303
"1135",1636,7481,357106,79419,"BPS  Riparian",155060,"EVT  Riparian",1324313
"1136",1636,7518,77,17,"BPS  Riparian",155060,"EVT  Riparian",673
"1137",1636,7905,1256,279,"BPS  Riparian",155060,"EVT  Developed",90692
"1138",1636,7906,1254,279,"BPS  Riparian",155060,"EVT  Developed",57168
"1139",1636,7907,1136,253,"BPS  Riparian",155060,"EVT  Developed",34311
"1140",1636,7908,824,183,"BPS  Riparian",155060,"EVT  Developed",91154
"1141",1636,7909,316,70,"BPS  Riparian",155060,"EVT  Developed",31250
"1142",1636,7925,631,140,"BPS  Riparian",155060,"EVT  Developed",17852
"1143",1636,7926,959,213,"BPS  Riparian",155060,"EVT  Developed",16062
"1144",1636,7927,843,187,"BPS  Riparian",155060,"EVT  Developed",9282
"1145",1636,7928,57,13,"BPS  Riparian",155060,"EVT  Developed",646
"1146",1636,7929,351,78,"BPS  Riparian",155060,"EVT  Developed",9711
"1147",1636,7970,650,145,"BPS  Riparian",155060,"EVT  Agricultural",114076
"1148",1636,7972,16,4,"BPS  Riparian",155060,"EVT  Agricultural",602
"1149",1636,7973,469,104,"BPS  Riparian",155060,"EVT  Agricultural",56434
"1150",1636,7974,2263,503,"BPS  Riparian",155060,"EVT  Agricultural",647975
"1151",1636,7975,2538,564,"BPS  Riparian",155060,"EVT  Agricultural",330931
"1152",1636,7976,7130,1586,"BPS  Riparian",155060,"EVT  Agricultural",187903
"1153",1636,7977,1092,243,"BPS  Riparian",155060,"EVT  Agricultural",215713
"1154",1636,7978,224,50,"BPS  Riparian",155060,"EVT  Agricultural",56033
"1155",1636,7979,23,5,"BPS  Riparian",155060,"EVT  Agricultural",91
"1156",1636,9055,3086,686,"BPS  Riparian",155060,"EVT  Riparian",12735
"1157",1636,9056,22218,4941,"BPS  Riparian",155060,"EVT  Riparian",104586
"1158",1636,9057,121,27,"BPS  Riparian",155060,"EVT  Riparian",238
"1159",1636,9088,6,1,"BPS  Riparian",155060,"EVT  Conifer",135
"1160",1636,9089,1768,393,"BPS  Riparian",155060,"EVT  Conifer",61687
"1161",1636,9102,17,4,"BPS  Riparian",155060,"EVT  Riparian",4
"1162",1636,9112,7135,1587,"BPS  Riparian",155060,"EVT  Conifer",539567
"1163",1636,9114,301,67,"BPS  Riparian",155060,"EVT  Riparian",1188
"1164",1636,9117,72470,16117,"BPS  Riparian",155060,"EVT  Riparian",81556
"1165",1636,9118,8270,1839,"BPS  Riparian",155060,"EVT  Riparian",31825
"1166",1636,9120,15999,3558,"BPS  Riparian",155060,"EVT  Riparian",45378
"1167",1636,9177,1007,224,"BPS  Riparian",155060,"EVT  Riparian",2269
"1168",1636,9178,29939,6658,"BPS  Riparian",155060,"EVT  Riparian",80534
"1169",1636,9179,4200,934,"BPS  Riparian",155060,"EVT  Riparian",8526
"1170",1636,9180,550,122,"BPS  Riparian",155060,"EVT  Riparian",1662
"1171",1636,9182,2,0,"BPS  Riparian",155060,"EVT  Riparian",3
"1172",1636,9183,2360,525,"BPS  Riparian",155060,"EVT  Riparian",2476
"1173",1636,9202,2998,667,"BPS  Riparian",155060,"EVT  Riparian",6630
"1174",1636,9203,213,47,"BPS  Riparian",155060,"EVT  Riparian",1470
"1175",1636,9312,5659,1259,"BPS  Riparian",155060,"EVT  Conifer",444827
"1176",1636,9314,34,8,"BPS  Riparian",155060,"EVT  Riparian",5583
"1177",1636,9315,232,52,"BPS  Riparian",155060,"EVT  Conifer-Hardwood",123883
"1178",1636,9317,760,169,"BPS  Riparian",155060,"EVT  Exotic Tree-Shrub",22360
"1179",1636,9318,108,24,"BPS  Riparian",155060,"EVT  Riparian",2090
"1180",1636,9601,3,1,"BPS  Riparian",155060,"EVT  Grassland",2050
"1181",1636,9617,4443,988,"BPS  Riparian",155060,"EVT  Riparian",2912
"1182",1636,9620,8997,2001,"BPS  Riparian",155060,"EVT  Riparian",26536
"1183",1636,9679,6,1,"BPS  Riparian",155060,"EVT  Riparian",8
"1184",1636,9682,4,1,"BPS  Riparian",155060,"EVT  Riparian",15
"1185",1636,9683,1506,335,"BPS  Riparian",155060,"EVT  Riparian",3138
"1186",1636,9817,3613,804,"BPS  Riparian",155060,"EVT  Exotic Herbaceous",230309
"1187",1637,7238,2125,473,"BPS  Riparian",132978,"EVT  Hardwood",649927
"1188",1637,7239,1763,392,"BPS  Riparian",132978,"EVT  Conifer-Hardwood",276742
"1189",1637,7240,561,125,"BPS  Riparian",132978,"EVT  Hardwood",33752
"1190",1637,7241,891,198,"BPS  Riparian",132978,"EVT  Conifer-Hardwood",86858
"1191",1637,7242,48,11,"BPS  Riparian",132978,"EVT  Hardwood",8282
"1192",1637,7243,33,7,"BPS  Riparian",132978,"EVT  Conifer-Hardwood",2505
"1193",1637,7295,472,105,"BPS  Riparian",132978,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",9251
"1194",1637,7296,1326,295,"BPS  Riparian",132978,"EVT  Developed-Low Intensity",116930
"1195",1637,7297,354,79,"BPS  Riparian",132978,"EVT  Developed-Medium Intensity",46889
"1196",1637,7298,35,8,"BPS  Riparian",132978,"EVT  Developed-High Intensity",20824
"1197",1637,7299,3502,779,"BPS  Riparian",132978,"EVT  Developed-Roads",444910
"1198",1637,7301,12799,2846,"BPS  Riparian",132978,"EVT  Hardwood",1117376
"1199",1637,7302,5626,1251,"BPS  Riparian",132978,"EVT  Hardwood",1403892
"1200",1637,7310,38,8,"BPS  Riparian",132978,"EVT  Hardwood",49771
"1201",1637,7311,24,5,"BPS  Riparian",132978,"EVT  Hardwood",12646
"1202",1637,7313,1,0,"BPS  Riparian",132978,"EVT  Hardwood",12533
"1203",1637,7362,17746,3947,"BPS  Riparian",132978,"EVT  Conifer",418108
"1204",1637,7366,11257,2503,"BPS  Riparian",132978,"EVT  Conifer",168735
"1205",1637,7395,1,0,"BPS  Riparian",132978,"EVT  Hardwood",4408
"1206",1637,7407,1139,253,"BPS  Riparian",132978,"EVT  Conifer",67551
"1207",1637,7412,9,2,"BPS  Riparian",132978,"EVT  Grassland",72
"1208",1637,7466,1871,416,"BPS  Riparian",132978,"EVT  Riparian",8303
"1209",1637,7481,347703,77327,"BPS  Riparian",132978,"EVT  Riparian",1324313
"1210",1637,7518,3,1,"BPS  Riparian",132978,"EVT  Riparian",673
"1211",1637,7905,646,144,"BPS  Riparian",132978,"EVT  Developed",90692
"1212",1637,7906,3256,724,"BPS  Riparian",132978,"EVT  Developed",57168
"1213",1637,7907,1061,236,"BPS  Riparian",132978,"EVT  Developed",34311
"1214",1637,7908,599,133,"BPS  Riparian",132978,"EVT  Developed",91154
"1215",1637,7909,171,38,"BPS  Riparian",132978,"EVT  Developed",31250
