"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","LABEL.x","LABEL.y","BPS_CODE","ZONE","total_count","currentPercent"
"135","14110_49_51_52_Developed","14110_49_51_52","Developed",0,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,120,10128,"Developed","Developed",14110,51,82765,12
"136","14110_49_51_52_Water","14110_49_51_52","Water",0,"Great Lakes Wet-Mesic Lakeplain Prairie",NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","14110_49_51_52_UN","14110_49_51_52","UN",0,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,6,82,"UN","UN",14110,51,82765,0
"138","14110_49_51_52_UE","14110_49_51_52","UE",0,"Great Lakes Wet-Mesic Lakeplain Prairie",1630,7,3364,"UE","UE",14110,51,82765,4
"139","14440_41_50_51_A","14440_41_50_51","A",15,"Eastern Boreal Floodplain",1633,1,5,"A","A",14440,51,127192,0
"140","14440_41_50_51_B","14440_41_50_51","B",35,"Eastern Boreal Floodplain",1633,2,1039,"B","B",14440,51,127192,0
"141","14440_41_50_51_C","14440_41_50_51","C",37,"Eastern Boreal Floodplain",1633,3,96266,"C","C",14440,51,127192,75
"142","14440_41_50_51_D","14440_41_50_51","D",13,"Eastern Boreal Floodplain",1633,4,21,"D","D",14440,51,127192,0
"143","14440_41_50_51_E","14440_41_50_51","E",NA,"Eastern Boreal Floodplain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","14440_41_50_51_Agriculture","14440_41_50_51","Agriculture",0,"Eastern Boreal Floodplain",1633,180,689,"Agriculture","Agriculture",14440,51,127192,0
"145","14440_41_50_51_Developed","14440_41_50_51","Developed",0,"Eastern Boreal Floodplain",1633,120,1734,"Developed","Developed",14440,51,127192,1
"146","14440_41_50_51_Water","14440_41_50_51","Water",0,"Eastern Boreal Floodplain",NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","14440_41_50_51_UN","14440_41_50_51","UN",0,"Eastern Boreal Floodplain",1633,6,26447,"UN","UN",14440,51,127192,20
"148","14440_41_50_51_UE","14440_41_50_51","UE",0,"Eastern Boreal Floodplain",1633,7,991,"UE","UE",14440,51,127192,0
"149","14660_50_51_A","14660_50_51","A",23,"Great Lakes Wooded Dune and Swale",1634,1,1135,"A","A",14660,51,40669,2
"150","14660_50_51_B","14660_50_51","B",23,"Great Lakes Wooded Dune and Swale",1634,2,130,"B","B",14660,51,40669,0
"151","14660_50_51_C","14660_50_51","C",27,"Great Lakes Wooded Dune and Swale",1634,3,35766,"C","C",14660,51,40669,87
"152","14660_50_51_D","14660_50_51","D",27,"Great Lakes Wooded Dune and Swale",1634,4,949,"D","D",14660,51,40669,2
"153","14660_50_51_E","14660_50_51","E",NA,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"154","14660_50_51_Agriculture","14660_50_51","Agriculture",0,"Great Lakes Wooded Dune and Swale",1634,180,137,"Agriculture","Agriculture",14660,51,40669,0
"155","14660_50_51_Developed","14660_50_51","Developed",0,"Great Lakes Wooded Dune and Swale",1634,120,1564,"Developed","Developed",14660,51,40669,3
"156","14660_50_51_Water","14660_50_51","Water",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"157","14660_50_51_UN","14660_50_51","UN",0,"Great Lakes Wooded Dune and Swale",NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","14660_50_51_UE","14660_50_51","UE",0,"Great Lakes Wooded Dune and Swale",1634,7,988,"UE","UE",14660,51,40669,2
"159","14710_51_62_A","14710_51_62","A",15,"Central Interior and Appalachian Floodplain Systems",1635,1,241,"A","A",14710,51,386069,0
"160","14710_51_62_B","14710_51_62","B",23,"Central Interior and Appalachian Floodplain Systems",1635,2,1462,"B","B",14710,51,386069,0
"161","14710_51_62_C","14710_51_62","C",44,"Central Interior and Appalachian Floodplain Systems",1635,3,162155,"C","C",14710,51,386069,42
"162","14710_51_62_D","14710_51_62","D",18,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","14710_51_62_E","14710_51_62","E",NA,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","14710_51_62_Agriculture","14710_51_62","Agriculture",0,"Central Interior and Appalachian Floodplain Systems",1635,180,20065,"Agriculture","Agriculture",14710,51,386069,5
"165","14710_51_62_Developed","14710_51_62","Developed",0,"Central Interior and Appalachian Floodplain Systems",1635,120,13354,"Developed","Developed",14710,51,386069,3
"166","14710_51_62_Water","14710_51_62","Water",0,"Central Interior and Appalachian Floodplain Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","14710_51_62_UN","14710_51_62","UN",0,"Central Interior and Appalachian Floodplain Systems",1635,6,177144,"UN","UN",14710,51,386069,45
"168","14710_51_62_UE","14710_51_62","UE",0,"Central Interior and Appalachian Floodplain Systems",1635,7,11648,"UE","UE",14710,51,386069,3
"169","14750_41_50_51_63_64_65_66_A","14750_41_50_51_63_64_65_66","A",16,"Laurentian-Acadian Floodplain Systems",1636,1,10,"A","A",14750,51,697230,0
"170","14750_41_50_51_63_64_65_66_B","14750_41_50_51_63_64_65_66","B",23,"Laurentian-Acadian Floodplain Systems",1636,2,12167,"B","B",14750,51,697230,1
